"Centroid Data for pc board: ""hs-64-spi-3d.brd"" as of: 9/11/2023 12:10 AM",,,,
Measurements are in inches. Comma delimited,,,,
Only surface mount components included,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.249,-0.207,0
C2,Top,0.108,-0.153,180
C3,Top,0.317,-0.129,90
C4,Top,0.192,-0.276,180
C5,Bottom,-0.223,-0.267,45
C6,Bottom,-0.232,-0.218,180
C7,Top,-0.156,-0.029,180
C8,Top,0.107,-0.205,180
IR1,Top,-0.234,-0.234,135
IR2,Top,0.234,0.234,135
J1,Bottom,0,0.039,0
J2,Top,-0.016,-0.016,0
R1,Top,-0.161,0.155,0
R2,Top,0.091,-0.285,180
R3,Top,-0.004,-0.297,180
R4,Top,-0.091,-0.297,0
R5,Top,0.127,0.304,160
R6,Top,-0.31,-0.135,115
R7,Top,0.097,-0.009,90
R8,Top,0.124,-0.009,90
U1,Bottom,0,-0.197,0
U2,Top,0.224,-0.084,90
U3,Top,0.179,-0.234,0
